Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,655,16,F:System.Windows.Forms.MessageBoxIcon.Information,,,,,"MessageBox.Show(""There is no creature to save. Create or load a creature first."", ""No Creature"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,655,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(""There is no creature to save. Create or load a creature first."", ""No Creature"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,655,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(""There is no creature to save. Create or load a creature first."", ""No Creature"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,655,16,F:System.Windows.Forms.MessageBoxButtons.OK,,,,,"MessageBox.Show(""There is no creature to save. Create or load a creature first."", ""No Creature"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,655,16,T:System.Windows.Forms.MessageBox,,,,,"MessageBox.Show(""There is no creature to save. Create or load a creature first."", ""No Creature"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,655,16,T:System.Windows.Forms.DialogResult,,,,,"MessageBox.Show(""There is no creature to save. Create or load a creature first."", ""No Creature"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,655,16,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String,System.Windows.Forms.MessageBoxButtons,System.Windows.Forms.MessageBoxIcon)",,,,,"MessageBox.Show(""There is no creature to save. Create or load a creature first."", ""No Creature"", MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,646,20,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,646,20,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,646,20,F:System.Windows.Forms.MessageBoxIcon.Error,,,,,"MessageBox.Show($""Error loading file:\n{ex.Message}"", ""Error"", MessageBoxButtons.OK, MessageBoxIcon.Error);"
